City_id,City,Latitude,Longitude
FR000001,Mont Saint Michel,48.6359541,-1.5114600
FR000002,St Malo,48.6495180,-2.0260409
FR000003,Bayeux,49.2764624,-0.7024738
FR000004,Le Havre,49.4938975,0.1079732
FR000005,Rouen,49.4404591,1.0939658
FR000006,Paris,48.8588897,2.3200410
FR000007,Amiens,49.8941708,2.2956951
FR000008,Lille,50.6365654,3.0635282
FR000009,Strasbourg,48.5846140,7.7507127
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202
FR000011,Colmar,48.0777517,7.3579641
FR000012,Eguisheim,48.0447968,7.3079618
FR000013,Besancon,47.2380222,6.0243622
FR000014,Dijon,47.3215806,5.0414701
FR000015,Annecy,45.8992348,6.1288847
FR000016,Grenoble,45.1875602,5.7357819
FR000017,Lyon,45.7578137,4.8320114
FR000018,Gorges du Verdon,43.7496562,6.3285616
FR000019,Bormes les Mimosas,43.1506968,6.3419285
FR000020,Cassis,43.2140359,5.5396318
FR000021,Marseille,43.2961743,5.3699525
FR000022,Aix en Provence,43.5298424,5.4474738
FR000023,Avignon,43.9492493,4.8059012
FR000024,Uzes,44.0121279,4.4196718
FR000025,Nimes,43.8374249,4.3600687
FR000026,Aigues Mortes,43.5661521,4.1915400
FR000027,Saintes Maries de la mer,43.4515922,4.4277202
FR000028,Collioure,42.5250500,3.0831554
FR000029,Carcassonne,43.2130358,2.3491069
FR000030,Ariege,42.9455368,1.4065544
FR000031,Toulouse,43.6044622,1.4442469
FR000032,Montauban,44.0175835,1.3549991
FR000033,Biarritz,43.4711437,-1.5527266
FR000034,Bayonne,43.4945144,-1.4736657
FR000035,La Rochelle,46.1597320,-1.1515951
